Ticker,Date/Time,Open,High,Low,Close,Volume
YEG,6/27/2018 00:00:00,321,321,321,321,16860
YEG,6/28/2018 00:00:00,342,343.4,342,343,76700
YEG,6/29/2018 00:00:00,321,321,319,319,1800
YEG,7/2/2018 00:00:00,296.7,296.7,296.7,296.7,10610
YEG,7/3/2018 00:00:00,296.7,296.7,276,276,10050
YEG,7/4/2018 00:00:00,256.7,256.7,256.7,256.7,10000
YEG,7/5/2018 00:00:00,238.8,241,238.8,241,123420
YEG,7/6/2018 00:00:00,224.2,230,224.2,225,16270
YEG,7/9/2018 00:00:00,225,240.7,218.5,240.7,11290
YEG,7/10/2018 00:00:00,257.5,257.5,231,256.5,37640
YEG,7/11/2018 00:00:00,256.5,256.5,246,250,13200
YEG,7/12/2018 00:00:00,250,250,232.5,244,18810
YEG,7/13/2018 00:00:00,249.5,249.9,232.5,245.4,35730
YEG,7/16/2018 00:00:00,245.4,245.4,235,245,3810
YEG,7/17/2018 00:00:00,245,247,239,239,6870
YEG,7/18/2018 00:00:00,227,244.9,225,244.9,8530
YEG,7/19/2018 00:00:00,228,244.9,228,244.9,4450
YEG,7/20/2018 00:00:00,230,230,227.8,228,3220
YEG,7/23/2018 00:00:00,228,228.2,218.7,221,1060
YEG,7/24/2018 00:00:00,219.1,235,207,235,5680
YEG,7/25/2018 00:00:00,220.5,251.4,218.6,251.4,6190
YEG,7/26/2018 00:00:00,233.9,248,233.9,233.9,590
YEG,7/27/2018 00:00:00,217.6,218.2,217.6,217.6,5750
YEG,7/30/2018 00:00:00,202.4,202.5,202.4,202.4,29730
YEG,7/31/2018 00:00:00,200.1,202.4,200,202.4,860
YEG,8/1/2018 00:00:00,200,202,190.8,200.9,1150
YEG,8/2/2018 00:00:00,195,199.9,187,191.1,1560
YEG,8/3/2018 00:00:00,200,200,195,200,620
YEG,8/6/2018 00:00:00,200,200,191,191,2210
YEG,8/7/2018 00:00:00,192,195,192,194,230
YEG,8/8/2018 00:00:00,196.3,197,194,197,2220
YEG,8/9/2018 00:00:00,196,199.7,195,197,480
YEG,8/10/2018 00:00:00,195,198.8,195,195,3080
YEG,8/13/2018 00:00:00,199.7,199.7,195,196.7,360
YEG,8/14/2018 00:00:00,198.4,199,192,196.1,6220
YEG,8/15/2018 00:00:00,198.2,198.2,193.5,197.1,1750
YEG,8/16/2018 00:00:00,197.1,197.1,190.1,196,510
YEG,8/17/2018 00:00:00,195,198.9,194.5,195,10480
YEG,8/20/2018 00:00:00,197.9,198.5,185,197.8,60190
YEG,8/21/2018 00:00:00,197.8,198.1,196,198,19930
YEG,8/22/2018 00:00:00,195,197.5,195,195.5,890
YEG,8/23/2018 00:00:00,195.5,195.5,181.9,181.9,14060
YEG,8/24/2018 00:00:00,188.9,194.6,180,194.6,13260
YEG,8/27/2018 00:00:00,195,196,181,181,26360
YEG,8/28/2018 00:00:00,185,193.6,185,193.6,7340
YEG,8/29/2018 00:00:00,196,200,195.5,198,26110
YEG,8/30/2018 00:00:00,197.9,199,188,197,7220
YEG,8/31/2018 00:00:00,200,200,194.9,196,12700
YEG,9/4/2018 00:00:00,209.7,209.7,209.7,209.7,142940
YEG,9/5/2018 00:00:00,224.3,224.3,224.3,224.3,43200
YEG,9/6/2018 00:00:00,240,240,224.3,235,47180
YEG,9/7/2018 00:00:00,218.6,235,218.6,218.6,27120
YEG,9/10/2018 00:00:00,218,218.6,203.3,217,27320
YEG,9/11/2018 00:00:00,213.9,217,210,216.4,43640
YEG,9/12/2018 00:00:00,216.4,221,215.5,218.9,22050
YEG,9/13/2018 00:00:00,217,220.1,217,219.3,21050
YEG,9/14/2018 00:00:00,220.5,221.4,219.3,221.4,51660
YEG,9/17/2018 00:00:00,221.9,234,219.4,234,18800
YEG,9/18/2018 00:00:00,234,235,225.6,235,3850
YEG,9/19/2018 00:00:00,235,236,229,229,6180
YEG,9/20/2018 00:00:00,229,232.8,222,229,32370
YEG,9/21/2018 00:00:00,229,233,225,230,5240
YEG,9/24/2018 00:00:00,222.1,222.1,219,221.5,3790
YEG,9/25/2018 00:00:00,221.5,225,216,220,3200
YEG,9/26/2018 00:00:00,225,225,214,223.7,6080
YEG,9/27/2018 00:00:00,231,231,218,222,18120
YEG,9/28/2018 00:00:00,222,222,221,222,8540
YEG,10/1/2018 00:00:00,222,224.9,220,224.9,5210
YEG,10/2/2018 00:00:00,224.9,225,222,224.9,7030
YEG,10/3/2018 00:00:00,226,230,225,228.3,6270
